rownum,cz,czname,pop2000,fips,statename,stateabbrv,,le_raceadj_q1_F,le_agg_q1_F,le_raceadj_q2_F,le_agg_q2_F,le_raceadj_q3_F,le_agg_q3_F,le_raceadj_q4_F,le_agg_q4_F,,le_raceadj_q1_M,le_agg_q1_M,le_raceadj_q2_M,le_agg_q2_M,le_raceadj_q3_M,le_agg_q3_M,le_raceadj_q4_M,le_agg_q4_M,,sd_le_raceadj_q1_F,sd_le_agg_q1_F,sd_le_raceadj_q2_F,sd_le_agg_q2_F,sd_le_raceadj_q3_F,sd_le_agg_q3_F,sd_le_raceadj_q4_F,sd_le_agg_q4_F,,sd_le_raceadj_q1_M,sd_le_agg_q1_M,sd_le_raceadj_q2_M,sd_le_agg_q2_M,sd_le_raceadj_q3_M,sd_le_agg_q3_M,sd_le_raceadj_q4_M,sd_le_agg_q4_M,,count_q1_F,count_q2_F,count_q3_F,count_q4_F,,count_q1_M,count_q2_M,count_q3_M,count_q4_M
41,3002,Yazoo City,"39,355",28,Mississippi,MS,,82,80.36,83.16,82.34,87.27,86.5,83.31,82.59,,75.17,73.33,79.73,78.86,81.89,80.89,82.76,82.19,,1,1.01,1.48,1.51,1.46,1.58,2.18,2.23,,0.73,0.7,1.2,1.22,1.31,1.37,2.18,2.2,,"34,397","15,564","11,670","7,171",,"29,480","16,169","11,634","6,400"
42,3003,Jackson,"546,560",28,Mississippi,MS,,82.71,81.31,84.65,83.78,87.04,86.47,87.63,87.27,,75.98,74.32,80.06,79.09,82.89,82.22,84.16,83.71,,0.3,0.28,0.32,0.32,0.36,0.37,0.41,0.43,,0.26,0.22,0.3,0.29,0.34,0.34,0.38,0.39,,"427,170","336,501","285,185","262,848",,"347,874","296,335","269,384","247,537"
43,3101,McComb,"103,602",28,Mississippi,MS,,83.18,81.89,85.05,84.24,84.8,84.25,88.15,87.73,,76.27,74.69,81.17,80.3,82.48,81.92,83.29,82.72,,0.56,0.57,0.74,0.77,1,1.04,1.09,1.15,,0.44,0.43,0.67,0.68,0.81,0.83,1.3,1.34,,"98,687","53,423","39,636","23,403",,"80,171","56,588","38,745","21,906"
44,3102,Brookhaven,"46,424",28,Mississippi,MS,,82.23,81.1,85.04,84.42,84.83,84.36,87.73,87.51,,75.31,73.99,80.56,79.82,82.49,82.01,83.57,83.27,,0.85,0.88,0.99,1.03,1.26,1.31,1.45,1.5,,0.64,0.63,0.88,0.9,1.08,1.11,1.53,1.56,,"40,383","27,354","22,799","15,175",,"33,416","29,087","24,082","14,474"
45,3201,Jena,"25,202",22,Louisiana,LA,,81.27,80.52,83.94,83.37,86.84,86.43,88.93,88.68,,77.07,76.14,79.64,79.05,82.84,82.33,84.23,83.8,,1.02,1.04,1.51,1.57,1.72,1.82,1.92,2.03,,0.92,0.94,1.19,1.21,1.6,1.65,2.79,2.88,,"20,808","13,840","11,851","7,109",,"17,535","14,975","12,481","6,575"
46,3202,Natchez,"69,653",28,Mississippi,MS,,81.91,80.43,82.9,82.03,84.54,83.95,85.58,84.9,,76.96,75.3,81.82,81.09,81.07,80.46,83.65,82.98,,0.66,0.67,0.88,0.91,1.03,1.07,1.38,1.45,,0.54,0.52,0.78,0.8,0.99,1.01,1.23,1.28,,"66,451","36,460","26,264","16,990",,"53,391","36,665","24,894","15,829"
47,3203,Vicksburg,"84,943",28,Mississippi,MS,,82.06,80.23,85.55,84.66,84.96,84.26,86.13,85.66,,75.65,73.73,78.38,77.36,82.59,81.9,84.98,84.53,,0.7,0.69,0.78,0.81,0.91,0.95,1.16,1.22,,0.53,0.48,0.74,0.73,0.85,0.87,1.02,1.07,,"70,402","42,294","33,634","28,643",,"56,622","41,699","33,843","27,076"
48,3300,New Orleans,"1,381,652",22,Louisiana,LA,,82.45,81.57,84.42,83.89,85.03,84.65,86.95,86.69,,76.29,75.21,80.01,79.38,81.89,81.46,84.7,84.4,,0.2,0.18,0.22,0.22,0.24,0.25,0.27,0.28,,0.17,0.14,0.19,0.19,0.22,0.22,0.25,0.26,,"967,442","748,570","637,085","627,571",,"809,325","697,721","627,503","611,730"
49,3400,Houma,"271,365",22,Louisiana,LA,,82.15,81.29,84.07,83.53,85.13,84.67,85.94,85.63,,75.82,74.82,80.68,80.14,82.51,82.07,83.86,83.53,,0.38,0.39,0.47,0.49,0.51,0.53,0.66,0.68,,0.3,0.29,0.35,0.35,0.42,0.43,0.6,0.62,,"201,436","147,643","153,983","113,441",,"167,768","175,579","169,981","112,576"
50,3500,Baton Rouge,"806,561",22,Louisiana,LA,,82.58,81.33,84.44,83.8,85.96,85.49,88.05,87.76,,76,74.51,80.3,79.58,82.93,82.42,84.55,84.17,,0.24,0.23,0.28,0.28,0.29,0.3,0.31,0.32,,0.21,0.19,0.24,0.24,0.27,0.28,0.3,0.3,,"594,983","477,956","445,212","446,568",,"452,194","441,594","458,154","436,231"
